gender,age,age_o,d_age,race_o,samerace,d_importance_same_race,d_importance_same_religion,field,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,d_like,met,decision_o,match
female,24,27,3,European/Caucasian-American,1,5,4,LAW,75,18,18,18,10,10,7,7,7,9,7,4,75,10,75,18,10,10,7,4,9,7,4,4,7,7,4,7,4,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,7,0,0,0
female,24,22,2,European/Caucasian-American,1,5,4,LAW,75,10,10,75,10,10,7,7,9,7,7,4,75,10,75,18,10,10,7,4,9,7,4,7,4,7,7,9,7,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,7,0,0,0
female,24,22,2,'Asian/Pacific Islander/Asian-American',0,5,4,LAW,18,18,18,18,10,10,9,9,9,9,9,9,75,10,75,18,10,10,7,4,9,7,4,4,7,9,7,4,4,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,7,0,1,0
female,24,23,1,European/Caucasian-American,1,5,4,LAW,75,10,10,75,10,10,9,9,9,9,9,9,75,10,75,18,10,10,7,4,9,7,4,7,9,7,7,4,7,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,7,0,1,1
female,24,24,0,'Latino/Hispanic American',0,5,4,LAW,75,10,18,10,10,18,9,9,9,9,7,7,75,10,75,18,10,10,7,4,9,7,4,7,7,7,9,7,7,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,7,1,1,0
female,24,25,1,European/Caucasian-American,1,5,4,LAW,75,10,75,10,10,10,7,7,7,4,7,7,75,10,75,18,10,10,7,4,9,7,4,7,7,7,4,7,4,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,7,0,1,0
female,24,30,6,European/Caucasian-American,1,5,4,LAW,75,10,75,10,10,10,4,4,4,4,4,4,75,10,75,18,10,10,7,4,9,7,4,7,4,9,7,7,9,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,7,0,0,0
female,24,27,3,European/Caucasian-American,1,5,4,LAW,75,10,10,10,10,75,7,7,7,7,7,4,75,10,75,18,10,10,7,4,9,7,4,4,7,7,4,9,4,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,3,0,1,0
female,24,28,4,European/Caucasian-American,1,5,4,LAW,75,10,75,10,10,10,7,7,9,9,7,7,75,10,75,18,10,10,7,4,9,7,4,7,7,7,9,4,4,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,3,0,1,1
female,24,24,0,European/Caucasian-American,1,5,4,LAW,75,10,10,10,10,10,7,4,7,7,9,7,75,10,75,18,10,10,7,4,9,7,4,7,7,7,7,9,7,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,2,7,4,7,0,0,0
female,25,27,2,European/Caucasian-American,1,8,4,Education,75,18,18,18,10,10,7,7,7,4,7,4,75,10,75,10,10,10,7,9,7,9,7,7,9,9,7,7,9,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,7,1,0,0
female,25,22,3,European/Caucasian-American,1,8,4,Education,75,10,10,75,10,10,7,7,9,7,7,4,75,10,75,10,10,10,7,9,7,9,7,9,7,9,7,9,7,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,7,0,0,0
female,25,22,3,'Asian/Pacific Islander/Asian-American',0,8,4,Education,18,18,18,18,10,10,9,9,9,9,9,9,75,10,75,10,10,10,7,9,7,9,7,7,9,9,7,9,7,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,7,0,1,0
female,25,23,2,European/Caucasian-American,1,8,4,Education,75,10,10,75,10,10,7,9,7,7,7,7,75,10,75,10,10,10,7,9,7,9,7,9,7,9,7,9,7,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,7,0,1,0
female,25,24,1,'Latino/Hispanic American',0,8,4,Education,75,10,18,10,10,18,7,9,7,7,4,4,75,10,75,10,10,10,7,9,7,9,7,9,9,9,9,9,9,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,9,0,1,0
female,25,25,0,European/Caucasian-American,1,8,4,Education,75,10,75,10,10,10,7,7,7,7,7,7,75,10,75,10,10,10,7,9,7,9,7,7,9,9,7,9,9,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,7,0,1,0
female,25,30,5,European/Caucasian-American,1,8,4,Education,75,10,75,10,10,10,7,4,4,4,4,4,75,10,75,10,10,10,7,9,7,9,7,7,9,9,7,7,9,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,7,0,0,0
female,25,27,2,European/Caucasian-American,1,8,4,Education,75,10,10,10,10,75,4,4,7,4,7,4,75,10,75,10,10,10,7,9,7,9,7,7,9,9,7,9,7,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,7,0,0,0
female,25,28,3,European/Caucasian-American,1,8,4,Education,75,10,75,10,10,10,7,7,7,7,7,7,75,10,75,10,10,10,7,9,7,9,7,9,9,9,9,9,9,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,9,0,1,0
female,25,24,1,European/Caucasian-American,1,8,4,Education,75,10,10,10,10,10,4,7,7,4,7,7,75,10,75,10,10,10,7,9,7,9,7,7,7,9,7,9,7,3,7,7,7,3,3,7,3,3,7,7,7,7,7,3,7,7,2,2,1,7,0,0,0
female,23,27,4,European/Caucasian-American,1,1,1,LAW,75,18,18,18,10,10,7,7,7,7,7,4,18,18,18,18,10,10,7,7,9,7,7,4,9,7,4,7,7,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,7,0,0,0
female,23,22,1,European/Caucasian-American,1,1,1,LAW,75,10,10,75,10,10,7,4,9,7,7,4,18,18,18,18,10,10,7,7,9,7,7,7,7,7,9,7,7,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,7,1,0,0
female,23,22,1,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,18,18,18,18,10,10,9,9,9,9,9,9,18,18,18,18,10,10,7,7,9,7,7,4,7,7,7,7,7,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,3,0,1,0
female,23,23,0,European/Caucasian-American,1,1,1,LAW,75,10,10,75,10,10,7,7,7,9,9,9,18,18,18,18,10,10,7,7,9,7,7,7,9,7,9,7,9,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,7,1,1,1
female,23,24,1,'Latino/Hispanic American',0,1,1,LAW,75,10,18,10,10,18,7,7,9,7,7,9,18,18,18,18,10,10,7,7,9,7,7,7,9,7,9,7,9,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,7,0,1,0
female,23,25,2,European/Caucasian-American,1,1,1,LAW,75,10,75,10,10,10,7,7,7,7,7,7,18,18,18,18,10,10,7,7,9,7,7,4,9,7,4,7,4,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,3,0,1,0
female,23,30,7,European/Caucasian-American,1,1,1,LAW,75,10,75,10,10,10,7,7,4,4,7,4,18,18,18,18,10,10,7,7,9,7,7,7,9,9,7,9,4,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,3,0,1,0
female,23,27,4,European/Caucasian-American,1,1,1,LAW,75,10,10,10,10,75,7,7,7,7,7,4,18,18,18,18,10,10,7,7,9,7,7,4,9,9,4,9,7,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,7,0,0,0
female,23,28,5,European/Caucasian-American,1,1,1,LAW,75,10,75,10,10,10,7,7,7,9,9,9,18,18,18,18,10,10,7,7,9,7,7,9,7,9,9,7,7,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,7,0,1,1
female,23,24,1,European/Caucasian-American,1,1,1,LAW,75,10,10,10,10,10,7,7,7,7,7,7,18,18,18,18,10,10,7,7,9,7,7,7,9,9,9,7,7,3,3,7,7,7,7,7,3,7,7,7,9,7,7,7,3,7,2,2,1,9,0,0,0
female,21,27,6,European/Caucasian-American,1,8,1,LAW,75,18,18,18,10,10,7,7,7,7,7,7,18,10,75,75,10,10,7,4,7,9,7,4,7,7,4,4,4,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,7,0,0,0
female,21,22,1,European/Caucasian-American,1,8,1,LAW,75,10,10,75,10,10,7,7,9,7,7,4,18,10,75,75,10,10,7,4,7,9,7,7,7,7,4,4,4,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,7,1,0,0
female,21,22,1,'Asian/Pacific Islander/Asian-American',0,8,1,LAW,18,18,18,18,10,10,9,9,9,9,9,9,18,10,75,75,10,10,7,4,7,9,7,4,7,7,7,7,4,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,7,1,1,0
female,21,23,2,European/Caucasian-American,1,8,1,LAW,75,10,10,75,10,10,7,7,7,7,9,9,18,10,75,75,10,10,7,4,7,9,7,7,4,4,7,7,9,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,7,1,1,1
female,21,24,3,'Latino/Hispanic American',0,8,1,LAW,75,10,18,10,10,18,4,9,9,7,9,4,18,10,75,75,10,10,7,4,7,9,7,7,7,7,4,4,7,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,7,0,0,0
female,21,25,4,European/Caucasian-American,1,8,1,LAW,75,10,75,10,10,10,4,7,7,7,7,7,18,10,75,75,10,10,7,4,7,9,7,4,7,7,4,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,7,0,0,0
female,21,30,9,European/Caucasian-American,1,8,1,LAW,75,10,75,10,10,10,4,4,4,4,4,4,18,10,75,75,10,10,7,4,7,9,7,7,7,7,4,4,7,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,7,0,0,0
female,21,27,6,European/Caucasian-American,1,8,1,LAW,75,10,10,10,10,75,4,4,7,4,4,4,18,10,75,75,10,10,7,4,7,9,7,4,4,7,7,7,4,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,7,0,0,0
female,21,28,7,European/Caucasian-American,1,8,1,LAW,75,10,75,10,10,10,4,9,9,9,9,7,18,10,75,75,10,10,7,4,7,9,7,7,4,7,7,7,9,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,9,0,1,1
female,21,24,3,European/Caucasian-American,1,8,1,LAW,75,10,10,10,10,10,4,9,7,7,9,4,18,10,75,75,10,10,7,4,7,9,7,9,7,7,9,7,4,7,3,7,7,7,7,7,7,7,7,7,7,7,3,7,7,3,8,15,1,9,0,0,0
female,23,27,4,European/Caucasian-American,0,1,1,LAW,75,18,18,18,10,10,7,9,7,9,7,4,10,75,18,75,10,10,4,7,7,9,4,7,9,7,7,7,7,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,7,0,0,0
female,23,22,1,European/Caucasian-American,0,1,1,LAW,75,10,10,75,10,10,7,7,9,7,7,7,10,75,18,75,10,10,4,7,7,9,4,7,9,9,7,7,4,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,7,0,0,0
female,23,22,1,'Asian/Pacific Islander/Asian-American',1,1,1,LAW,18,18,18,18,10,10,9,9,9,9,9,9,10,75,18,75,10,10,4,7,7,9,4,4,7,9,4,4,4,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,7,1,1,0
female,23,23,0,European/Caucasian-American,0,1,1,LAW,75,10,10,75,10,10,7,7,7,7,9,7,10,75,18,75,10,10,4,7,7,9,4,7,7,7,7,4,7,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,9,0,1,1
female,23,24,1,'Latino/Hispanic American',0,1,1,LAW,75,10,18,10,10,18,9,7,9,7,9,7,10,75,18,75,10,10,4,7,7,9,4,4,4,7,7,4,4,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,3,1,1,0
female,23,25,2,European/Caucasian-American,0,1,1,LAW,75,10,75,10,10,10,7,7,7,7,7,7,10,75,18,75,10,10,4,7,7,9,4,4,7,7,4,4,4,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,3,0,1,0
female,23,30,7,European/Caucasian-American,0,1,1,LAW,75,10,75,10,10,10,4,7,7,4,4,4,10,75,18,75,10,10,4,7,7,9,4,7,7,7,7,4,4,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,7,0,0,0
female,23,27,4,European/Caucasian-American,0,1,1,LAW,75,10,10,10,10,75,7,7,7,7,7,4,10,75,18,75,10,10,4,7,7,9,4,4,7,9,4,7,4,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,3,0,0,0
female,23,28,5,European/Caucasian-American,0,1,1,LAW,75,10,75,10,10,10,7,7,7,7,7,7,10,75,18,75,10,10,4,7,7,9,4,7,7,7,7,7,9,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,9,0,1,1
female,23,24,1,European/Caucasian-American,0,1,1,LAW,75,10,10,10,10,10,7,9,9,7,9,7,10,75,18,75,10,10,4,7,7,9,4,7,9,9,9,9,7,9,7,9,7,7,7,9,3,7,9,3,3,7,7,3,3,3,2,2,4,9,0,0,0
female,22,27,5,European/Caucasian-American,0,5,4,LAW,75,18,18,18,10,10,7,7,7,7,7,7,10,10,75,18,10,10,7,7,4,7,7,4,7,7,4,7,4,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,7,0,0,0
female,22,22,0,European/Caucasian-American,0,5,4,LAW,75,10,10,75,10,10,7,9,9,7,7,4,10,10,75,18,10,10,7,7,4,7,7,7,7,7,4,9,4,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,7,1,1,0
female,22,22,0,'Asian/Pacific Islander/Asian-American',1,5,4,LAW,18,18,18,18,10,10,9,9,9,9,9,9,10,10,75,18,10,10,7,7,4,7,7,4,7,7,7,7,7,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,7,1,1,0
female,22,23,1,European/Caucasian-American,0,5,4,LAW,75,10,10,75,10,10,7,7,9,7,9,9,10,10,75,18,10,10,7,7,4,7,7,7,7,7,7,7,7,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,7,1,1,1
female,22,24,2,'Latino/Hispanic American',0,5,4,LAW,75,10,18,10,10,18,7,7,9,7,9,4,10,10,75,18,10,10,7,7,4,7,7,4,7,7,4,7,4,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,3,1,1,0
female,22,25,3,European/Caucasian-American,0,5,4,LAW,75,10,75,10,10,10,7,7,7,7,7,7,10,10,75,18,10,10,7,7,4,7,7,4,7,7,4,4,4,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,3,0,1,0
female,22,30,8,European/Caucasian-American,0,5,4,LAW,75,10,75,10,10,10,7,7,4,4,4,4,10,10,75,18,10,10,7,7,4,7,7,7,7,7,7,7,7,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,7,0,0,0
female,22,27,5,European/Caucasian-American,0,5,4,LAW,75,10,10,10,10,75,7,7,7,7,7,4,10,10,75,18,10,10,7,7,4,7,7,4,7,7,4,9,4,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,3,0,1,0
female,22,28,6,European/Caucasian-American,0,5,4,LAW,75,10,75,10,10,10,9,7,9,9,9,9,10,10,75,18,10,10,7,7,4,7,7,7,7,7,7,7,7,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,7,0,1,1
female,22,24,2,European/Caucasian-American,0,5,4,LAW,75,10,10,10,10,10,7,7,7,7,7,7,10,10,75,18,10,10,7,7,4,7,7,7,7,7,7,7,7,3,3,3,9,9,9,3,3,7,7,7,9,9,9,9,9,9,8,2,1,7,0,0,0
female,25,27,2,European/Caucasian-American,1,1,1,Education,75,18,18,18,10,10,7,7,7,7,7,4,10,18,75,18,18,10,7,4,7,7,7,4,7,7,4,7,4,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,3,0,0,0
female,25,22,3,European/Caucasian-American,1,1,1,Education,75,10,10,75,10,10,7,7,9,7,7,4,10,18,75,18,18,10,7,4,7,7,7,7,7,7,9,7,7,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,7,0,1,1
female,25,22,3,'Asian/Pacific Islander/Asian-American',0,1,1,Education,18,18,18,18,10,10,9,9,9,9,9,9,10,18,75,18,18,10,7,4,7,7,7,4,7,7,7,7,7,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,3,0,1,1
female,25,23,2,European/Caucasian-American,1,1,1,Education,75,10,10,75,10,10,7,7,7,7,7,7,10,18,75,18,18,10,7,4,7,7,7,7,7,4,7,7,4,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,3,0,1,1
female,25,24,1,'Latino/Hispanic American',0,1,1,Education,75,10,18,10,10,18,9,9,7,9,4,7,10,18,75,18,18,10,7,4,7,7,7,7,7,7,4,7,7,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,7,0,1,1
female,25,25,0,European/Caucasian-American,1,1,1,Education,75,10,75,10,10,10,7,7,7,7,7,7,10,18,75,18,18,10,7,4,7,7,7,7,7,7,4,7,7,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,7,0,1,1
female,25,30,5,European/Caucasian-American,1,1,1,Education,75,10,75,10,10,10,7,4,7,4,7,4,10,18,75,18,18,10,7,4,7,7,7,7,7,7,4,7,7,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,7,0,0,0
female,25,27,2,European/Caucasian-American,1,1,1,Education,75,10,10,10,10,75,9,7,7,7,7,4,10,18,75,18,18,10,7,4,7,7,7,4,7,7,4,4,7,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,3,0,1,1
female,25,28,3,European/Caucasian-American,1,1,1,Education,75,10,75,10,10,10,7,7,7,9,7,9,10,18,75,18,18,10,7,4,7,7,7,7,7,4,9,7,9,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,7,0,1,1
female,25,24,1,European/Caucasian-American,1,1,1,Education,75,10,10,10,10,10,7,9,9,9,7,7,10,18,75,18,18,10,7,4,7,7,7,7,7,7,7,9,7,3,3,3,9,9,9,3,3,9,7,9,9,9,7,7,7,7,6,15,1,7,0,1,1
female,26,27,1,European/Caucasian-American,0,1,1,Education,75,18,18,18,10,10,7,7,7,7,7,4,18,10,18,75,10,10,7,7,9,7,7,7,9,9,7,7,7,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,3,0,0,0
female,26,22,4,European/Caucasian-American,0,1,1,Education,75,10,10,75,10,10,7,7,9,7,7,4,18,10,18,75,10,10,7,7,9,7,7,9,9,9,9,9,9,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,9,0,1,1
female,26,22,4,'Asian/Pacific Islander/Asian-American',0,1,1,Education,18,18,18,18,10,10,9,9,9,9,9,9,18,10,18,75,10,10,7,7,9,7,7,4,9,9,7,7,7,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,7,0,1,1
female,26,23,3,European/Caucasian-American,0,1,1,Education,75,10,10,75,10,10,7,7,7,7,7,7,18,10,18,75,10,10,7,7,9,7,7,9,9,7,7,7,7,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,7,0,1,1
female,26,24,2,'Latino/Hispanic American',0,1,1,Education,75,10,18,10,10,18,7,9,7,9,7,7,18,10,18,75,10,10,7,7,9,7,7,4,9,7,7,4,4,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,3,0,1,1
female,26,25,1,European/Caucasian-American,0,1,1,Education,75,10,75,10,10,10,7,7,7,7,7,7,18,10,18,75,10,10,7,7,9,7,7,7,9,9,7,7,4,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,7,0,1,1
female,26,30,4,European/Caucasian-American,0,1,1,Education,75,10,75,10,10,10,7,7,7,7,7,4,18,10,18,75,10,10,7,7,9,7,7,7,7,9,7,7,7,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,7,0,1,1
female,26,27,1,European/Caucasian-American,0,1,1,Education,75,10,10,10,10,75,7,7,7,7,7,4,18,10,18,75,10,10,7,7,9,7,7,7,7,7,7,9,7,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,7,0,0,0
female,26,28,2,European/Caucasian-American,0,1,1,Education,75,10,75,10,10,10,7,7,7,7,7,7,18,10,18,75,10,10,7,7,9,7,7,7,4,4,7,4,4,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,7,0,1,1
female,26,24,2,European/Caucasian-American,0,1,1,Education,75,10,10,10,10,10,4,7,7,7,7,7,18,10,18,75,10,10,7,7,9,7,7,7,7,7,7,7,7,3,3,3,7,7,7,3,3,9,7,7,9,9,9,9,7,3,6,15,1,7,0,0,0
female,26,27,1,European/Caucasian-American,1,5,4,Business,75,18,18,18,10,10,7,7,7,7,7,4,10,10,10,75,10,10,7,7,9,7,9,7,9,9,7,7,4,9,9,9,7,7,7,7,3,7,7,3,7,7,7,7,7,7,8,15,1,7,0,0,0
female,26,22,4,European/Caucasian-American,1,5,4,Business,75,10,10,75,10,10,4,4,4,4,4,4,10,10,10,75,10,10,7,7,9,7,9,4,4,4,4,4,4,9,9,9,7,7,7,7,3,7,7,3,7,7,7,7,7,7,8,15,1,3,1,0,0
female,26,22,4,'Asian/Pacific Islander/Asian-American',0,5,4,Business,18,18,18,18,10,10,9,9,9,9,9,9,10,10,10,75,10,10,7,7,9,7,9,7,9,9,9,7,4,9,9,9,7,7,7,7,3,7,7,3,7,7,7,7,7,7,8,15,1,7,0,1,1
female,26,23,3,European/Caucasian-American,1,5,4,Business,75,10,10,75,10,10,7,7,7,9,7,7,10,10,10,75,10,10,7,7,9,7,9,9,9,9,9,9,4,9,9,9,7,7,7,7,3,7,7,3,7,7,7,7,7,7,8,15,1,9,1,1,0
female,26,24,2,'Latino/Hispanic American',0,5,4,Business,75,10,18,10,10,18,7,9,9,7,7,4,10,10,10,75,10,10,7,7,9,7,9,4,7,7,7,7,4,9,9,9,7,7,7,7,3,7,7,3,7,7,7,7,7,7,8,15,1,7,0,1,0
female,26,25,1,European/Caucasian-American,1,5,4,Business,75,10,75,10,10,10,4,7,7,7,7,7,10,10,10,75,10,10,7,7,9,7,9,4,9,7,4,7,4,9,9,9,7,7,7,7,3,7,7,3,7,7,7,7,7,7,8,15,1,7,0,0,0
female,26,30,4,European/Caucasian-American,1,5,4,Business,75,10,75,10,10,10,7,7,4,4,4,4,10,10,10,75,10,10,7,7,9,7,9,4,9,7,7,9,4,9,9,9,7,7,7,7,3,7,7,3,7,7,7,7,7,7,8,15,1,7,0,0,0
