"","interests_correlate","d_interests_correlate"
"68","0.08","[0-0.33]"
"69","-0.34","[-1-0]"
"70","-0.16","[-1-0]"
"71","-0.03","[-1-0]"
"72","-0.11","[-1-0]"
"73","0.42","[0.33-1]"
"74","-0.4","[-1-0]"
"75","-0.23","[-1-0]"
"76","0.28","[0-0.33]"
"77","0.05","[0-0.33]"
"78","0.17","[0-0.33]"
"79","-0.47","[-1-0]"
"80","-0.21","[-1-0]"
"81","0.19","[0-0.33]"
"82","0.03","[0-0.33]"
"83","0.68","[0.33-1]"
"84","-0.26","[-1-0]"
"85","-0.01","[-1-0]"
"86","0.42","[0.33-1]"
"87","0.21","[0-0.33]"
"88","0.1","[0-0.33]"
"89","-0.35","[-1-0]"
"90","-0.23","[-1-0]"
"91","0.3","[0-0.33]"
"92","0.65","[0.33-1]"
"93","-0.15","[-1-0]"
"94","0.17","[0-0.33]"
"95","0.24","[0-0.33]"
"96","0.15","[0-0.33]"
"97","0.41","[0.33-1]"
"98","0.07","[0-0.33]"
"99","0.49","[0.33-1]"
"100","0.08","[0-0.33]"
"101","0.14","[0-0.33]"
"102","0.29","[0-0.33]"
"103","-0.24","[-1-0]"
"104","-0.18","[-1-0]"
"105","-0.43","[-1-0]"
"106","0.33","[0-0.33]"
"107","0.19","[0-0.33]"
"108","-0.03","[-1-0]"
"109","0.19","[0-0.33]"
"110","0.3","[0-0.33]"
"111","0.54","[0.33-1]"
"112","0.18","[0-0.33]"
"113","-0.14","[-1-0]"
"114","-0.18","[-1-0]"
"115","0","[-1-0]"
"116","0.37","[0.33-1]"
"117","0.21","[0-0.33]"
"118","-0.11","[-1-0]"
"119","0.03","[0-0.33]"
"120","0.65","[0.33-1]"
"121","0.16","[0-0.33]"
"122","0.1","[0-0.33]"
"123","0.09","[0-0.33]"
"124","0.05","[0-0.33]"
"125","-0.17","[-1-0]"
"126","-0.51","[-1-0]"
"127","0.52","[0.33-1]"
"128","0.42","[0.33-1]"
"129","0.68","[0.33-1]"
"130","-0.15","[-1-0]"
"131","0.61","[0.33-1]"
"132","-0.21","[-1-0]"
"133","-0.04","[-1-0]"
"134","-0.18","[-1-0]"
"135","0.08","[0-0.33]"
"136","0.12","[0-0.33]"
"137","-0.46","[-1-0]"
"138","-0.4","[-1-0]"
"139","-0.26","[-1-0]"
"140","0.17","[0-0.33]"
"141","0.21","[0-0.33]"
"142","0.32","[0-0.33]"
"143","-0.14","[-1-0]"
"144","0.21","[0-0.33]"
"145","-0.16","[-1-0]"
"146","0.35","[0.33-1]"
"147","-0.27","[-1-0]"
"148","-0.23","[-1-0]"
"149","-0.01","[-1-0]"
"150","0.24","[0-0.33]"
"151","0.25","[0-0.33]"
"152","0.73","[0.33-1]"
"153","-0.3","[-1-0]"
"154","0.37","[0.33-1]"
"155","0.06","[0-0.33]"
"156","0.19","[0-0.33]"
"157","0.59","[0.33-1]"
"158","0.28","[0-0.33]"
"159","0.42","[0.33-1]"
"160","0.15","[0-0.33]"
"161","0.34","[0.33-1]"
"162","0.6","[0.33-1]"
"163","-0.26","[-1-0]"
"164","0.35","[0.33-1]"
"165","-0.05","[-1-0]"
"166","0.47","[0.33-1]"
"167","0.31","[0-0.33]"
"168","0.05","[0-0.33]"
"169","0.21","[0-0.33]"
"170","0.41","[0.33-1]"
"171","0.5","[0.33-1]"
"172","0.07","[0-0.33]"
"173","0.29","[0-0.33]"
"174","0.15","[0-0.33]"
"175","0.07","[0-0.33]"
"176","0.03","[0-0.33]"
"177","0.08","[0-0.33]"
"178","0.17","[0-0.33]"
"179","0.1","[0-0.33]"
"180","0.07","[0-0.33]"
"181","0.28","[0-0.33]"
"182","0.11","[0-0.33]"
"183","-0.15","[-1-0]"
"184","-0.47","[-1-0]"
"185","-0.13","[-1-0]"
"186","0.46","[0.33-1]"
"187","-0.34","[-1-0]"
"188","-0.47","[-1-0]"
"189","-0.35","[-1-0]"
"190","0.49","[0.33-1]"
"191","-0.36","[-1-0]"
"192","0.39","[0.33-1]"
"193","-0.47","[-1-0]"
"194","-0.19","[-1-0]"
"195","-0.06","[-1-0]"
"196","0.43","[0.33-1]"
"197","-0.16","[-1-0]"
"198","-0.21","[-1-0]"
"199","-0.23","[-1-0]"
"200","0.08","[0-0.33]"
"201","-0.23","[-1-0]"
"202","-0.3","[-1-0]"
"203","0.46","[0.33-1]"
"204","0.43","[0.33-1]"
"205","-0.4","[-1-0]"
"206","0.01","[0-0.33]"
"207","0.22","[0-0.33]"
"208","-0.06","[-1-0]"
"209","-0.08","[-1-0]"
"210","0.28","[0-0.33]"
"211","0.27","[0-0.33]"
"212","0.44","[0.33-1]"
"213","0.62","[0.33-1]"
"214","-0.08","[-1-0]"
"215","-0.2","[-1-0]"
"216","0.39","[0.33-1]"
"217","0.29","[0-0.33]"
"218","-0.23","[-1-0]"
"219","0.44","[0.33-1]"
"220","-0.04","[-1-0]"
"221","-0.21","[-1-0]"
"222","-0.02","[-1-0]"
"223","-0.33","[-1-0]"
"224","0.27","[0-0.33]"
"225","0.73","[0.33-1]"
"226","-0.08","[-1-0]"
"227","0.12","[0-0.33]"
"228","-0.52","[-1-0]"
"229","0.03","[0-0.33]"
"230","0.5","[0.33-1]"
"231","0.33","[0-0.33]"
"232","0.16","[0-0.33]"
"233","0.22","[0-0.33]"
"234","0.06","[0-0.33]"
"235","0.41","[0.33-1]"
"236","-0.35","[-1-0]"
"237","-0.17","[-1-0]"
"238","-0.1","[-1-0]"
"239","-0.52","[-1-0]"
"240","0.21","[0-0.33]"
"241","0.58","[0.33-1]"
"242","-0.23","[-1-0]"
"243","0.05","[0-0.33]"
"244","-0.57","[-1-0]"
"245","-0.13","[-1-0]"
"246","0.49","[0.33-1]"
"247","0.35","[0.33-1]"
"248","0.1","[0-0.33]"
"249","-0.31","[-1-0]"
"250","-0.07","[-1-0]"
"251","0.09","[0-0.33]"
"252","-0.32","[-1-0]"
"253","0.54","[0.33-1]"
"254","-0.19","[-1-0]"
"255","0.24","[0-0.33]"
"256","0.04","[0-0.33]"
"257","0.05","[0-0.33]"
"258","-0.04","[-1-0]"
"259","-0.12","[-1-0]"
"260","-0.07","[-1-0]"
"261","-0.01","[-1-0]"
"262","0.48","[0.33-1]"
"263","0.49","[0.33-1]"
"264","-0.22","[-1-0]"
"265","-0.12","[-1-0]"
"266","0.09","[0-0.33]"
"267","0.58","[0.33-1]"
"268","-0.2","[-1-0]"
"269","-0.29","[-1-0]"
"270","-0.01","[-1-0]"
"271","-0.24","[-1-0]"
"272","-0.05","[-1-0]"
"273","0.38","[0.33-1]"
"274","0.06","[0-0.33]"
"275","0.35","[0.33-1]"
"276","0.11","[0-0.33]"
"277","0.28","[0-0.33]"
"278","0.11","[0-0.33]"
"279","-0.15","[-1-0]"
"280","0.53","[0.33-1]"
"281","-0.38","[-1-0]"
"282","-0.05","[-1-0]"
"283","0.04","[0-0.33]"
"284","-0.02","[-1-0]"
"285","0.46","[0.33-1]"
"286","-0.06","[-1-0]"
"287","0.22","[0-0.33]"
"288","-0.05","[-1-0]"
"289","0.29","[0-0.33]"
"290","0.02","[0-0.33]"
"291","0.21","[0-0.33]"
"292","0.05","[0-0.33]"
"293","0.06","[0-0.33]"
"294","0.08","[0-0.33]"
"295","0.16","[0-0.33]"
"296","0.03","[0-0.33]"
"297","-0.13","[-1-0]"
"298","-0.04","[-1-0]"
"299","-0.07","[-1-0]"
"300","-0.16","[-1-0]"
"301","0.44","[0.33-1]"
"302","-0.27","[-1-0]"
"303","0.29","[0-0.33]"
"304","-0.28","[-1-0]"
"305","-0.35","[-1-0]"
"306","0.13","[0-0.33]"
"307","-0.23","[-1-0]"
"308","0.2","[0-0.33]"
"309","-0.31","[-1-0]"
"310","-0.07","[-1-0]"
"311","-0.06","[-1-0]"
"312","-0.16","[-1-0]"
"313","?","[-1-0]"
"314","?","[-1-0]"
"315","?","[-1-0]"
"316","?","[-1-0]"
"317","?","[-1-0]"
"318","?","[-1-0]"
"319","?","[-1-0]"
"320","?","[-1-0]"
"321","?","[-1-0]"
"322","?","[-1-0]"
"323","?","[-1-0]"
"324","?","[-1-0]"
"325","?","[-1-0]"
"326","?","[-1-0]"
"327","?","[-1-0]"
"328","?","[-1-0]"
"329","0.11","[0-0.33]"
"330","-0.57","[-1-0]"
"331","0.1","[0-0.33]"
"332","0.31","[0-0.33]"
"333","-0.41","[-1-0]"
"334","0.08","[0-0.33]"
"335","0.1","[0-0.33]"
"336","0.04","[0-0.33]"
"337","0.11","[0-0.33]"
"338","0.2","[0-0.33]"
"339","0.54","[0.33-1]"
"340","-0.05","[-1-0]"
"341","0.42","[0.33-1]"
"342","0.06","[0-0.33]"
"343","-0.16","[-1-0]"
"344","0.52","[0.33-1]"
"345","0.19","[0-0.33]"
"346","-0.44","[-1-0]"
"347","0.46","[0.33-1]"
"348","0.21","[0-0.33]"
"349","-0.27","[-1-0]"
"350","-0.41","[-1-0]"
"351","-0.02","[-1-0]"
"352","0.09","[0-0.33]"
"353","0.39","[0.33-1]"
"354","0.16","[0-0.33]"
"355","0.51","[0.33-1]"
"356","-0.27","[-1-0]"
"357","0.11","[0-0.33]"
"358","0.16","[0-0.33]"
"359","0.21","[0-0.33]"
"360","0.49","[0.33-1]"
"361","-0.19","[-1-0]"
"362","-0.43","[-1-0]"
"363","0.47","[0.33-1]"
"364","-0.48","[-1-0]"
"365","0","[-1-0]"
"366","-0.38","[-1-0]"
"367","-0.34","[-1-0]"
"368","-0.27","[-1-0]"
"369","0.52","[0.33-1]"
"370","-0.57","[-1-0]"
"371","-0.04","[-1-0]"
"372","-0.35","[-1-0]"
"373","0.03","[0-0.33]"
"374","0.4","[0.33-1]"
"375","0.26","[0-0.33]"
"376","-0.32","[-1-0]"
"377","-0.05","[-1-0]"
"378","-0.22","[-1-0]"
"379","0.54","[0.33-1]"
"380","-0.13","[-1-0]"
"381","-0.11","[-1-0]"
"382","-0.19","[-1-0]"
"383","-0.33","[-1-0]"
"384","0.06","[0-0.33]"
"385","0.52","[0.33-1]"
"386","0","[-1-0]"
"387","0.12","[0-0.33]"
"388","-0.41","[-1-0]"
"389","0.17","[0-0.33]"
"390","0.5","[0.33-1]"
"391","0.19","[0-0.33]"
"392","0.2","[0-0.33]"
"393","-0.29","[-1-0]"
"394","0.41","[0.33-1]"
"395","0.77","[0.33-1]"
"396","0.09","[0-0.33]"
"397","-0.15","[-1-0]"
"398","-0.41","[-1-0]"
"399","-0.49","[-1-0]"
"400","-0.18","[-1-0]"
"401","0.21","[0-0.33]"
"402","-0.15","[-1-0]"
"403","-0.46","[-1-0]"
"404","0.3","[0-0.33]"
"405","-0.22","[-1-0]"
"406","-0.24","[-1-0]"
"407","-0.29","[-1-0]"
"408","-0.15","[-1-0]"
"409","0.01","[0-0.33]"
"410","-0.2","[-1-0]"
"411","0.35","[0.33-1]"
"412","-0.07","[-1-0]"
"413","-0.24","[-1-0]"
"414","-0.05","[-1-0]"
"415","-0.08","[-1-0]"
"416","0.12","[0-0.33]"
"417","0.43","[0.33-1]"
"418","-0.01","[-1-0]"
"419","0.68","[0.33-1]"
"420","-0.19","[-1-0]"
"421","0.35","[0.33-1]"
"422","0.24","[0-0.33]"
"423","0.16","[0-0.33]"
"424","0.5","[0.33-1]"
"425","-0.25","[-1-0]"
"426","-0.27","[-1-0]"
"427","0.19","[0-0.33]"
"428","0.26","[0-0.33]"
"429","-0.09","[-1-0]"
"430","-0.01","[-1-0]"
"431","0.01","[0-0.33]"
"432","-0.21","[-1-0]"
"433","0.45","[0.33-1]"
"434","0.18","[0-0.33]"
"435","0.27","[0-0.33]"
"436","0.09","[0-0.33]"
"437","0.43","[0.33-1]"
"438","-0.2","[-1-0]"
"439","-0.29","[-1-0]"
"440","0.33","[0-0.33]"
"441","-0.04","[-1-0]"
"442","-0.39","[-1-0]"
"443","0.29","[0-0.33]"
"444","0.05","[0-0.33]"
"445","0.48","[0.33-1]"
"446","-0.06","[-1-0]"
"447","0.29","[0-0.33]"
"448","0.16","[0-0.33]"
"449","0.28","[0-0.33]"
"450","0","[-1-0]"
"451","-0.02","[-1-0]"
"452","-0.47","[-1-0]"
"453","-0.15","[-1-0]"
"454","0.77","[0.33-1]"
"455","0.83","[0.33-1]"
"456","-0.12","[-1-0]"
"457","0.13","[0-0.33]"
"458","-0.14","[-1-0]"
"459","0.07","[0-0.33]"
"460","-0.02","[-1-0]"
"461","0.31","[0-0.33]"
"462","-0.01","[-1-0]"
"463","0.09","[0-0.33]"
"464","0.32","[0-0.33]"
"465","0.57","[0.33-1]"
"466","-0.01","[-1-0]"
"467","0.02","[0-0.33]"
"468","-0.47","[-1-0]"
"469","-0.05","[-1-0]"
"470","0.46","[0.33-1]"
"471","0.68","[0.33-1]"
"472","-0.27","[-1-0]"
"473","-0.15","[-1-0]"
"474","-0.19","[-1-0]"
"475","0.13","[0-0.33]"
"476","-0.61","[-1-0]"
"477","-0.16","[-1-0]"
"478","-0.19","[-1-0]"
"479","-0.32","[-1-0]"
"480","-0.14","[-1-0]"
"481","0.37","[0.33-1]"
"482","-0.36","[-1-0]"
"483","0.41","[0.33-1]"
"484","-0.3","[-1-0]"
"485","0.32","[0-0.33]"
"486","0.22","[0-0.33]"
"487","0.11","[0-0.33]"
"488","0.11","[0-0.33]"
"489","0.07","[0-0.33]"
"490","-0.43","[-1-0]"
"491","0.52","[0.33-1]"
"492","-0.23","[-1-0]"
"493","-0.01","[-1-0]"
"494","-0.08","[-1-0]"
"495","-0.17","[-1-0]"
"496","0.12","[0-0.33]"
"497","0.5","[0.33-1]"
"498","-0.32","[-1-0]"
"499","0.02","[0-0.33]"
"500","-0.46","[-1-0]"
"501","0.01","[0-0.33]"
"502","0.72","[0.33-1]"
"503","0.54","[0.33-1]"
"504","-0.08","[-1-0]"
"505","-0.23","[-1-0]"
"506","0.29","[0-0.33]"
"507","0.22","[0-0.33]"
"508","-0.31","[-1-0]"
"509","-0.12","[-1-0]"
"510","-0.38","[-1-0]"
"511","-0.13","[-1-0]"
"512","?","[-1-0]"
"513","0.11","[0-0.33]"
"514","0.19","[0-0.33]"
"515","-0.19","[-1-0]"
"516","-0.05","[-1-0]"
"517","-0.29","[-1-0]"
"518","0.01","[0-0.33]"
"519","-0.25","[-1-0]"
"520","-0.04","[-1-0]"
"521","0.13","[0-0.33]"
"522","-0.15","[-1-0]"
"523","0.07","[0-0.33]"
"524","-0.3","[-1-0]"
"525","-0.23","[-1-0]"
"526","0.06","[0-0.33]"
"527","-0.07","[-1-0]"
"528","0.09","[0-0.33]"
"529","-0.05","[-1-0]"
"530","-0.04","[-1-0]"
"531","?","[-1-0]"
"532","-0.57","[-1-0]"
"533","-0.44","[-1-0]"
"534","-0.43","[-1-0]"
"535","-0.22","[-1-0]"
"536","0.41","[0.33-1]"
"537","-0.2","[-1-0]"
"538","-0.27","[-1-0]"
"539","-0.39","[-1-0]"
"540","-0.14","[-1-0]"
"541","-0.19","[-1-0]"
"542","-0.43","[-1-0]"
"543","0.46","[0.33-1]"
"544","0.44","[0.33-1]"
"545","0.41","[0.33-1]"
"546","0.09","[0-0.33]"
"547","0.58","[0.33-1]"
"548","0.04","[0-0.33]"
"549","-0.07","[-1-0]"
"550","?","[-1-0]"
"551","0.1","[0-0.33]"
"552","0.46","[0.33-1]"
"553","0.47","[0.33-1]"
"554","0.54","[0.33-1]"
"555","0.77","[0.33-1]"
"556","0.35","[0.33-1]"
"557","0.19","[0-0.33]"
"558","0.29","[0-0.33]"
"559","0.07","[0-0.33]"
"560","0.13","[0-0.33]"
"561","0.52","[0.33-1]"
"562","0.43","[0.33-1]"
"563","-0.04","[-1-0]"
"564","-0.35","[-1-0]"
"565","-0.32","[-1-0]"
"566","-0.2","[-1-0]"
"567","-0.02","[-1-0]"
"568","-0.16","[-1-0]"
"569","?","[-1-0]"
"570","0.31","[0-0.33]"
"571","0.21","[0-0.33]"
"572","-0.48","[-1-0]"
"573","-0.13","[-1-0]"
"574","0.09","[0-0.33]"
"575","-0.07","[-1-0]"
"576","0.26","[0-0.33]"
"577","0.05","[0-0.33]"
"578","-0.02","[-1-0]"
"579","-0.61","[-1-0]"
"580","-0.23","[-1-0]"
"581","-0.4","[-1-0]"
"582","-0.21","[-1-0]"
"583","-0.17","[-1-0]"
"584","0.54","[0.33-1]"
"585","-0.29","[-1-0]"
"586","0.46","[0.33-1]"
"587","0.44","[0.33-1]"
"588","?","[-1-0]"
"589","-0.41","[-1-0]"
"590","-0.27","[-1-0]"
"591","0","[-1-0]"
"592","-0.11","[-1-0]"
"593","-0.15","[-1-0]"
"594","-0.24","[-1-0]"
"595","-0.09","[-1-0]"
"596","0.48","[0.33-1]"
"597","0.31","[0-0.33]"
"598","-0.16","[-1-0]"
"599","-0.01","[-1-0]"
"600","0.01","[0-0.33]"
"601","-0.02","[-1-0]"
"602","-0.1","[-1-0]"
"603","-0.19","[-1-0]"
"604","-0.01","[-1-0]"
"605","-0.06","[-1-0]"
"606","-0.27","[-1-0]"
"607","?","[-1-0]"
"608","0.08","[0-0.33]"
"609","-0.41","[-1-0]"
"610","-0.38","[-1-0]"
"611","-0.19","[-1-0]"
"612","-0.41","[-1-0]"
"613","-0.05","[-1-0]"
"614","-0.01","[-1-0]"
"615","-0.06","[-1-0]"
"616","-0.01","[-1-0]"
"617","-0.19","[-1-0]"
"618","-0.08","[-1-0]"
"619","0.22","[0-0.33]"
"620","-0.33","[-1-0]"
"621","-0.52","[-1-0]"
"622","0.24","[0-0.33]"
"623","-0.24","[-1-0]"
"624","0.22","[0-0.33]"
"625","0.29","[0-0.33]"
"626","?","[-1-0]"
"627","0.1","[0-0.33]"
"628","-0.02","[-1-0]"
"629","-0.34","[-1-0]"
"630","-0.33","[-1-0]"
"631","-0.49","[-1-0]"
"632","-0.08","[-1-0]"
"633","0.01","[0-0.33]"
"634","0.29","[0-0.33]"
"635","0.09","[0-0.33]"
"636","-0.32","[-1-0]"
"637","-0.17","[-1-0]"
"638","-0.06","[-1-0]"
"639","0.27","[0-0.33]"
"640","0.21","[0-0.33]"
"641","0.04","[0-0.33]"
"642","-0.05","[-1-0]"
"643","-0.05","[-1-0]"
"644","-0.28","[-1-0]"
"645","?","[-1-0]"
"646","0.04","[0-0.33]"
"647","0.09","[0-0.33]"
"648","-0.27","[-1-0]"
"649","0.06","[0-0.33]"
"650","-0.18","[-1-0]"
"651","0.12","[0-0.33]"
"652","-0.21","[-1-0]"
"653","0.16","[0-0.33]"
"654","0.32","[0-0.33]"
"655","-0.14","[-1-0]"
"656","0.12","[0-0.33]"
"657","-0.08","[-1-0]"
"658","0.73","[0.33-1]"
"659","0.58","[0.33-1]"
"660","0.05","[0-0.33]"
"661","0.38","[0.33-1]"
"662","0.29","[0-0.33]"
"663","-0.35","[-1-0]"
"664","?","[-1-0]"
"665","0.11","[0-0.33]"
"666","0.39","[0.33-1]"
"667","0.52","[0.33-1]"
"668","0.52","[0.33-1]"
"669","0.21","[0-0.33]"
"670","0.43","[0.33-1]"
"671","0.45","[0.33-1]"
"672","0.28","[0-0.33]"
"673","0.57","[0.33-1]"
"674","0.37","[0.33-1]"
"675","0.5","[0.33-1]"
"676","0.28","[0-0.33]"
"677","-0.08","[-1-0]"
"678","-0.23","[-1-0]"
"679","-0.04","[-1-0]"
"680","0.06","[0-0.33]"
"681","0.02","[0-0.33]"
"682","0.13","[0-0.33]"
"683","?","[-1-0]"
"684","0.2","[0-0.33]"
"685","0.16","[0-0.33]"
"686","-0.57","[-1-0]"
"687","0","[-1-0]"
"688","-0.15","[-1-0]"
"689","-0.01","[-1-0]"
"690","0.18","[0-0.33]"
"691","0","[-1-0]"
"692","-0.01","[-1-0]"
"693","-0.36","[-1-0]"
"694","-0.32","[-1-0]"
"695","0.27","[0-0.33]"
"696","0.12","[0-0.33]"
"697","0.05","[0-0.33]"
"698","-0.12","[-1-0]"
"699","0.35","[0.33-1]"
"700","0.21","[0-0.33]"
"701","-0.23","[-1-0]"
"702","?","[-1-0]"
"703","0.54","[0.33-1]"
"704","0.51","[0.33-1]"
"705","-0.04","[-1-0]"
"706","0.12","[0-0.33]"
"707","-0.46","[-1-0]"
"708","0.68","[0.33-1]"
"709","0.27","[0-0.33]"
"710","-0.02","[-1-0]"
"711","0.02","[0-0.33]"
"712","0.41","[0.33-1]"
"713","0.02","[0-0.33]"
"714","0.44","[0.33-1]"
"715","-0.52","[-1-0]"
"716","-0.57","[-1-0]"
"717","-0.07","[-1-0]"
"718","0.11","[0-0.33]"
"719","0.05","[0-0.33]"
"720","0.2","[0-0.33]"
"721","?","[-1-0]"
"722","-0.05","[-1-0]"
"723","-0.27","[-1-0]"
"724","-0.35","[-1-0]"
"725","-0.41","[-1-0]"
"726","0.3","[0-0.33]"
"727","-0.19","[-1-0]"
"728","0.09","[0-0.33]"
"729","-0.47","[-1-0]"
"730","-0.47","[-1-0]"
"731","-0.3","[-1-0]"
"732","-0.46","[-1-0]"
"733","0.62","[0.33-1]"
"734","0.03","[0-0.33]"
"735","-0.13","[-1-0]"
"736","-0.01","[-1-0]"
"737","0.28","[0-0.33]"
"738","0.06","[0-0.33]"
"739","-0.31","[-1-0]"
"740","?","[-1-0]"
"741","0.42","[0.33-1]"
"742","0.11","[0-0.33]"
"743","0.03","[0-0.33]"
"744","0.17","[0-0.33]"
"745","-0.22","[-1-0]"
"746","0.35","[0.33-1]"
"747","0.43","[0.33-1]"
"748","-0.15","[-1-0]"
"749","-0.05","[-1-0]"
"750","0.32","[0-0.33]"
"751","0.01","[0-0.33]"
"752","-0.08","[-1-0]"
"753","0.5","[0.33-1]"
"754","0.49","[0.33-1]"
"755","0.48","[0.33-1]"
"756","0.11","[0-0.33]"
"757","0.08","[0-0.33]"
"758","-0.07","[-1-0]"
"759","?","[-1-0]"
"760","0.06","[0-0.33]"
"761","0.16","[0-0.33]"
"762","0.4","[0.33-1]"
"763","0.5","[0.33-1]"
"764","-0.24","[-1-0]"
"765","0.24","[0-0.33]"
"766","-0.2","[-1-0]"
"767","0.77","[0.33-1]"
"768","0.46","[0.33-1]"
"769","0.22","[0-0.33]"
"770","0.72","[0.33-1]"
"771","-0.2","[-1-0]"
"772","0.33","[0-0.33]"
"773","0.35","[0.33-1]"
"774","0.49","[0.33-1]"
"775","-0.15","[-1-0]"
"776","0.16","[0-0.33]"
"777","-0.06","[-1-0]"
"778","?","[-1-0]"
"779","-0.16","[-1-0]"
"780","0.21","[0-0.33]"
"781","0.26","[0-0.33]"
"782","0.19","[0-0.33]"
"783","-0.29","[-1-0]"
"784","0.16","[0-0.33]"
"785","-0.29","[-1-0]"
"786","0.83","[0.33-1]"
"787","0.68","[0.33-1]"
"788","0.11","[0-0.33]"
"789","0.54","[0.33-1]"
"790","0.39","[0.33-1]"
"791","0.16","[0-0.33]"
"792","0.1","[0-0.33]"
"793","-0.22","[-1-0]"
"794","0.53","[0.33-1]"
"795","0.03","[0-0.33]"
"796","-0.16","[-1-0]"
"797","?","[-1-0]"
"798","0.52","[0.33-1]"
"799","0.49","[0.33-1]"
"800","-0.32","[-1-0]"
"801","0.2","[0-0.33]"
"802","-0.15","[-1-0]"
"803","0.5","[0.33-1]"
"804","0.33","[0-0.33]"
"805","-0.12","[-1-0]"
"806","-0.27","[-1-0]"
"807","0.11","[0-0.33]"
"808","-0.08","[-1-0]"
"809","0.26","[0-0.33]"
"810","-0.15","[-1-0]"
"811","0.44","[0.33-1]"
"812","-0.05","[-1-0]"
"813","0.07","[0-0.33]"
"814","-0.37","[-1-0]"
"815","0.65","[0.33-1]"
"816","-0.31","[-1-0]"
"817","-0.06","[-1-0]"
"818","0.37","[0.33-1]"
"819","0.23","[0-0.33]"
"820","-0.01","[-1-0]"
"821","0.68","[0.33-1]"
"822","-0.31","[-1-0]"
"823","0.02","[0-0.33]"
"824","-0.34","[-1-0]"
"825","0.44","[0.33-1]"
"826","-0.58","[-1-0]"
"827","0.34","[0.33-1]"
"828","0.23","[0-0.33]"
"829","?","[-1-0]"
"830","?","[-1-0]"
"831","?","[-1-0]"
"832","?","[-1-0]"
"833","?","[-1-0]"
"834","?","[-1-0]"
"835","?","[-1-0]"
"836","?","[-1-0]"
"837","?","[-1-0]"
"838","?","[-1-0]"
"839","?","[-1-0]"
"840","?","[-1-0]"
"841","?","[-1-0]"
"842","?","[-1-0]"
"843","?","[-1-0]"
"844","?","[-1-0]"
"845","?","[-1-0]"
"846","?","[-1-0]"
"847","?","[-1-0]"
"848","?","[-1-0]"
"849","0.16","[0-0.33]"
"850","0.03","[0-0.33]"
"851","0.28","[0-0.33]"
"852","0.12","[0-0.33]"
"853","0.45","[0.33-1]"
"854","-0.34","[-1-0]"
"855","0.61","[0.33-1]"
"856","-0.13","[-1-0]"
"857","0.41","[0.33-1]"
"858","0.29","[0-0.33]"
"859","0.39","[0.33-1]"
"860","-0.04","[-1-0]"
"861","0.8","[0.33-1]"
"862","-0.18","[-1-0]"
"863","0.14","[0-0.33]"
"864","-0.47","[-1-0]"
"865","0.41","[0.33-1]"
"866","-0.56","[-1-0]"
"867","0.53","[0.33-1]"
"868","0.28","[0-0.33]"
"869","0.27","[0-0.33]"
"870","0.26","[0-0.33]"
"871","0.17","[0-0.33]"
"872","0.31","[0-0.33]"
"873","0.37","[0.33-1]"
"874","0.14","[0-0.33]"
"875","0.33","[0-0.33]"
"876","0.14","[0-0.33]"
"877","0.21","[0-0.33]"
"878","0.26","[0-0.33]"
"879","0.17","[0-0.33]"
"880","0.03","[0-0.33]"
"881","0.41","[0.33-1]"
"882","0.02","[0-0.33]"
"883","0.63","[0.33-1]"
