gender,age,age_o,d_age,race,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,met,decision,match
female,24,22,2,European/Caucasian-American,1,2,5,LAW,60,0,0,40,0,0,7,6,10,6,6,5,45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,7,0,0,0
female,24,22,2,European/Caucasian-American,0,2,5,LAW,19,18,19,18,14,12,10,10,10,10,10,10,45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6,0,0,0
female,24,23,1,European/Caucasian-American,1,2,5,LAW,30,5,15,40,5,5,9,9,9,9,9,9,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,7,0,1,1
female,24,24,0,European/Caucasian-American,0,2,5,LAW,30,10,20,10,10,20,10,10,10,10,7,8,45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8,1,0,0
female,24,25,1,European/Caucasian-American,1,2,5,LAW,50,0,30,10,0,10,7,8,7,5,7,7,45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,2,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6,0,0,0
female,24,30,6,European/Caucasian-American,1,2,5,LAW,35,15,25,10,5,10,5,3,4,3,5,3,45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8,0,1,0
female,24,27,3,European/Caucasian-American,1,2,5,LAW,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,5,0,0,0
female,24,28,4,European/Caucasian-American,1,2,5,LAW,50,0,25,10,0,15,8,6,9,9,8,7,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,5,0,1,1
female,24,24,0,European/Caucasian-American,1,2,5,LAW,100,0,0,0,0,0,6,5,7,7,9,7,45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8,0,1,0
female,25,27,2,European/Caucasian-American,1,8,4,Education,35,20,20,20,0,5,7,8,6,5,8,4,35,10,35,10,10,0,8,9,8,9,8,7,9,10,7,8,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,8,1,0,0
female,25,22,3,European/Caucasian-American,1,8,4,Education,60,0,0,40,0,0,6,7,10,6,6,5,35,10,35,10,10,0,8,9,8,9,8,9,7,9,8,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,8,0,0,0
female,25,22,3,European/Caucasian-American,0,8,4,Education,19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,8,0,0,0
female,25,23,2,European/Caucasian-American,1,8,4,Education,30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,8,0,0,0
female,25,24,1,European/Caucasian-American,0,8,4,Education,30,10,20,10,10,20,6,10,8,6,7,5,35,10,35,10,10,0,8,9,8,9,8,9,10,10,10,10,10,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,9,0,0,0
female,25,25,0,European/Caucasian-American,1,8,4,Education,50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,9,8,9,8,8,10,10,7,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,8,0,0,0
female,25,30,5,European/Caucasian-American,1,8,4,Education,35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,8,0,0,0
female,25,27,2,European/Caucasian-American,1,8,4,Education,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,8,0,0,0
female,25,28,3,European/Caucasian-American,1,8,4,Education,50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,9,0,0,0
female,25,24,1,European/Caucasian-American,1,8,4,Education,100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,2,8,0,0,0
female,23,27,4,European/Caucasian-American,1,1,1,LAW,35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,6,0,0,0
female,23,22,1,European/Caucasian-American,1,1,1,LAW,60,0,0,40,0,0,6,5,10,6,6,5,20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8,1,0,0
female,23,22,1,European/Caucasian-American,0,1,1,LAW,19,18,19,18,14,12,10,10,10,10,10,10,20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,4,0,0,0
female,23,23,0,European/Caucasian-American,1,1,1,LAW,30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8,1,1,1
female,23,24,1,European/Caucasian-American,0,1,1,LAW,30,10,20,10,10,20,8,8,9,8,8,9,20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,9,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,7,0,0,0
female,23,25,2,European/Caucasian-American,1,1,1,LAW,50,0,30,10,0,10,6,6,7,7,8,7,20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,2,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,4,0,0,0
female,23,30,7,European/Caucasian-American,1,1,1,LAW,35,15,25,10,5,10,7,6,3,5,6,5,20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,5,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,5,0,0,0
female,23,27,4,European/Caucasian-American,1,1,1,LAW,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,6,0,0,0
female,23,28,5,European/Caucasian-American,1,1,1,LAW,50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8,0,1,1
female,23,24,1,European/Caucasian-American,1,1,1,LAW,100,0,0,0,0,0,7,8,8,7,8,7,20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,10,0,1,0
female,21,27,6,European/Caucasian-American,1,8,1,LAW,35,20,20,20,0,5,6,8,8,8,7,6,20,5,25,25,10,15,6,3,6,10,8,5,8,8,2,2,2,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,7,0,0,0
female,21,22,1,European/Caucasian-American,1,8,1,LAW,60,0,0,40,0,0,6,7,10,7,6,5,20,5,25,25,10,15,6,3,6,10,8,8,6,6,5,5,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,6,1,0,0
female,21,22,1,European/Caucasian-American,0,8,1,LAW,19,18,19,18,14,12,10,10,10,10,10,10,20,5,25,25,10,15,6,3,6,10,8,4,6,8,8,6,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,6,1,0,0
female,21,23,2,European/Caucasian-American,1,8,1,LAW,30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,9,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,8,1,1,1
female,21,24,3,European/Caucasian-American,0,8,1,LAW,30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,8,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,7,0,0,0
female,21,25,4,European/Caucasian-American,1,8,1,LAW,50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,8,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,7,0,1,0
female,21,30,9,European/Caucasian-American,1,8,1,LAW,35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,6,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,6,0,1,0
female,21,27,6,European/Caucasian-American,1,8,1,LAW,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,6,0,1,0
female,21,28,7,European/Caucasian-American,1,8,1,LAW,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,9,0,1,1
female,21,24,3,European/Caucasian-American,1,8,1,LAW,100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,2,10,0,1,0
female,23,27,4,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,6,0,1,0
female,23,22,1,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,7,0,1,0
female,23,22,1,'Asian/Pacific Islander/Asian-American',1,1,1,LAW,19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,6,1,0,0
female,23,23,0,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9,0,1,1
female,23,24,1,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,4,1,0,0
female,23,25,2,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,2,0,0,0
female,23,30,7,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,35,15,25,10,5,10,5,6,8,4,5,4,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,8,0,1,0
female,23,27,4,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,5,0,0,0
female,23,28,5,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9,0,1,1
female,23,24,1,'Asian/Pacific Islander/Asian-American',0,1,1,LAW,100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9,0,1,0
female,22,27,5,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7,0,0,0
female,22,22,0,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7,1,0,0
female,22,22,0,'Asian/Pacific Islander/Asian-American',1,2,4,LAW,19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7,1,0,0
female,22,23,1,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,8,1,1,1
female,22,24,2,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5,1,0,0
female,22,25,3,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5,0,0,0
female,22,30,8,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,8,0,1,0
female,22,27,5,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5,0,0,0
female,22,28,6,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,6,0,1,1
female,22,24,2,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7,0,1,0
female,25,27,2,European/Caucasian-American,1,1,1,Education,35,20,20,20,0,5,8,7,6,6,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,7,4,7,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,4,0,1,0
female,25,22,3,European/Caucasian-American,1,1,1,Education,60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,8,0,1,1
female,25,22,3,European/Caucasian-American,0,1,1,Education,19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,5,0,1,1
female,25,23,2,European/Caucasian-American,1,1,1,Education,30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,5,0,1,1
female,25,24,1,European/Caucasian-American,0,1,1,Education,30,10,20,10,10,20,9,9,8,9,7,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,6,0,1,1
female,25,25,0,European/Caucasian-American,1,1,1,Education,50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,6,0,1,1
female,25,30,5,European/Caucasian-American,1,1,1,Education,35,15,25,10,5,10,6,4,7,5,6,4,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,7,8,5,7,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,6,0,1,0
female,25,27,2,European/Caucasian-American,1,1,1,Education,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,6,7,4,5,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,5,0,1,1
female,25,28,3,European/Caucasian-American,1,1,1,Education,50,0,25,10,0,15,8,7,8,10,8,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,8,5,9,8,9,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,7,0,1,1
female,25,24,1,European/Caucasian-American,1,1,1,Education,100,0,0,0,0,0,8,10,9,9,8,8,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,7,6,8,7,9,8,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,2,8,0,1,1
female,26,27,1,Other,0,1,1,Education,35,20,20,20,0,5,6,8,7,8,7,5,20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,5,0,1,0
female,26,22,4,Other,0,1,1,Education,60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,10,0,1,1
female,26,22,4,Other,0,1,1,Education,19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,8,0,1,1
female,26,23,3,Other,0,1,1,Education,30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7,0,1,1
female,26,24,2,Other,0,1,1,Education,30,10,20,10,10,20,7,9,8,9,7,7,20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,5,0,1,1
female,26,25,1,Other,0,1,1,Education,50,0,30,10,0,10,6,6,7,8,7,7,20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,6,0,1,1
female,26,30,4,Other,0,1,1,Education,35,15,25,10,5,10,8,6,7,8,6,5,20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7,0,1,1
female,26,27,1,Other,0,1,1,Education,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,20,10,20,30,10,10,7,6,10,7,7,6,7,8,7,9,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7,0,1,0
female,26,28,2,Other,0,1,1,Education,50,0,25,10,0,15,6,6,6,7,6,6,20,10,20,30,10,10,7,6,10,7,7,8,5,5,6,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7,0,1,1
female,26,24,2,Other,0,1,1,Education,100,0,0,0,0,0,5,6,6,6,6,6,20,10,20,30,10,10,7,6,10,7,7,7,8,7,8,7,8,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,8,0,1,0
female,26,27,1,European/Caucasian-American,1,4,4,Business,35,20,20,20,0,5,7,8,7,8,6,5,15,15,15,40,10,5,6,8,10,6,9,6,10,10,6,6,5,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,2,6,0,0,0
female,26,22,4,European/Caucasian-American,1,4,4,Business,60,0,0,40,0,0,1,1,1,1,1,1,15,15,15,40,10,5,6,8,10,6,9,1,1,1,1,1,5,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,2,1,1,0,0
female,26,22,4,European/Caucasian-American,0,4,4,Business,19,18,19,18,14,12,10,10,10,10,10,10,15,15,15,40,10,5,6,8,10,6,9,6,10,10,10,6,5,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,2,7,0,1,1
female,26,23,3,European/Caucasian-American,1,4,4,Business,30,5,15,40,5,5,7,8,7,9,8,8,15,15,15,40,10,5,6,8,10,6,9,10,10,10,10,10,5,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,2,10,1,0,0
female,26,24,2,European/Caucasian-American,0,4,4,Business,30,10,20,10,10,20,6,9,9,7,8,5,15,15,15,40,10,5,6,8,10,6,9,5,7,7,7,7,5,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,2,6,0,0,0
female,26,25,1,European/Caucasian-American,1,4,4,Business,50,0,30,10,0,10,6,8,7,7,7,7,15,15,15,40,10,5,6,8,10,6,9,5,10,6,4,6,5,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,2,6,0,0,0
